Crop,Type,Soil,Ideal_Temp_C,Rainfall_mm,Season,Recommended_Fertilizer,Common_Pests/Diseases,Region_States,Sowing_Period,Harvest_Period,Average_Yield
Masoor,Pulse,Sandy,17-27,500-700,Kharif,Balanced NPK 100:50:50,Mosaic virus,Delhi,Jun-Jul,Sep-Oct,3.17
Bajra,Cereal,Black (Regur),16-26,500-1300,Annual,Urea,Thrips,Assam,Varies,Varies,3.92
Saffron,Vegetable,Loamy,28-38,600-700,Rabi,No fertilizer (organic),Powdery mildew,Maharashtra,Oct-Nov,Mar-Apr,1.76
Cabbage,Vegetable,Black (Regur),22-32,300-600,Zaid,Compost,Bacterial blight,Himachal Pradesh,Mar-Apr,Jun-Jul,1.17
Soybean,Oilseed,Black (Regur),27-37,600-1400,Zaid,Compost,Brown spot,Nagaland,Mar-Apr,Jun-Jul,1.48
Okra,Vegetable,Laterite,13-23,800-1100,Perennial,Balanced NPK 100:50:50,Nematode,Odisha,Varies,Varies,2.1
Garlic,Vegetable,Saline,30-40,400-1200,Rabi,Muriate of Potash,Late blight,Rajasthan,Oct-Nov,Mar-Apr,2.52
Apple,Fruit,Alluvial,17-27,200-500,Perennial,NPK 12:32:16,Aphids,Assam,Varies,Varies,26
Rapeseed,Oilseed,Loamy,22-32,1500-2000,Rabi,NPK 12:32:16,Cutworm,Kerala,Oct-Nov,Mar-Apr,3.85
Cardamom,Spice,Sandy Loam,17-27,400-1200,Perennial,DAP,None common,Punjab,Varies,Varies,3.85
Sugarcane,Plantation,Saline,12-22,800-1300,Annual,Gypsum,Locusts,Karnataka,Varies,Varies,95
Wheat,Cereal,Peaty,18-28,1500-1800,Kharif,NPK 12:32:16,Powdery mildew,Odisha,Jun-Jul,Sep-Oct,3.23
Onion,Vegetable,Red,26-36,300-600,Annual,Compost,Brown spot,West Bengal,Varies,Varies,2.06
Rice,Cereal,Loamy,10-20,300-600,Zaid,NPK 20:20:0,Leaf roller,Kerala,Mar-Apr,Jun-Jul,4.79
Gram,Pulse,Black (Regur),27-37,400-600,Perennial,Lime,Blast disease,Karnataka,Varies,Varies,3.12
Mango,Fruit,Laterite,19-29,800-1100,Perennial,Lime,Late blight,Bihar,Varies,Varies,15
Apple,Fruit,Sandy Loam,10-20,1200-2000,Rabi,Compost,Rust,Uttar Pradesh,Oct-Nov,Mar-Apr,10
Jowar,Cereal,Black (Regur),11-21,700-800,Annual,NPK 20:20:0,Bacterial blight,Meghalaya,Varies,Varies,2.89
Bitter Gourd,Vegetable,Loamy,23-33,500-600,Kharif,Balanced NPK 100:50:50,Powdery mildew,Gujarat,Jun-Jul,Sep-Oct,2.58
Ragi,Cereal,Alluvial,22-32,700-800,Rabi,NPK 20:20:0,Brown spot,Jharkhand,Oct-Nov,Mar-Apr,2.62
Chili,Vegetable,Laterite,12-22,900-1700,Kharif,Urea,Powdery mildew,Jharkhand,Jun-Jul,Sep-Oct,4.66
Grapes,Fruit,Clay Loam,25-35,900-1100,Perennial,Urea,Blast disease,Rajasthan,Varies,Varies,0.94
Pumpkin,Fruit,Clay Loam,27-37,1500-2000,Rabi,NPK 20:20:0,Pod borer,Assam,Oct-Nov,Mar-Apr,4.72
Jowar,Cereal,Alluvial,11-21,1200-1700,Annual,Lime,Blast disease,Punjab,Varies,Varies,4.14
Coffee,Plantation,Saline,12-22,1500-1700,Perennial,DAP,Fall armyworm,Kerala,Varies,Varies,2.45
Barley,Cereal,Clay Loam,28-38,1200-2000,Zaid,NPK 12:32:16,Brown spot,Meghalaya,Mar-Apr,Jun-Jul,3.41
Pear,Fruit,Sandy,24-34,700-800,Kharif,Gypsum,Fungal wilt,Goa,Jun-Jul,Sep-Oct,4.27
Mango,Fruit,Sandy,14-24,700-800,Rabi,Organic FYM,Pod borer,Odisha,Oct-Nov,Mar-Apr,22
Coriander,Other,Alluvial,27-37,600-700,Rabi,NPK 12:32:16,Whitefly,Delhi,Oct-Nov,Mar-Apr,1.5
Garlic,Vegetable,Saline,16-26,700-900,Zaid,Lime,Early blight,Karnataka,Mar-Apr,Jun-Jul,4.78
Tur (Pigeon Pea),Pulse,Sandy,11-21,200-500,Rabi,Balanced NPK 100:50:50,Bacterial blight,Odisha,Oct-Nov,Mar-Apr,3.85
